Date,Value,Unit
08/01/2024 00:00,77.4,kWh
08/01/2024 00:30,117,kWh
08/01/2024 01:00,108.8,kWh
08/01/2024 01:30,107,kWh
08/01/2024 02:00,103.4,kWh
08/01/2024 02:30,102,kWh
08/01/2024 03:00,102,kWh
08/01/2024 03:30,102,kWh
08/01/2024 04:00,111.2,kWh
08/01/2024 04:30,126.2,kWh
08/01/2024 05:00,120.4,kWh
08/01/2024 05:30,114.8,kWh
08/01/2024 06:00,123.2,kWh
08/01/2024 06:30,139.2,kWh
08/01/2024 07:00,131.4,kWh
08/01/2024 07:30,145,kWh
08/01/2024 08:00,154,kWh
08/01/2024 08:30,152.8,kWh
08/01/2024 09:00,151.8,kWh
08/01/2024 09:30,160.6,kWh
08/01/2024 10:00,161.8,kWh
08/01/2024 10:30,158,kWh
08/01/2024 11:00,156.2,kWh
08/01/2024 11:30,156.2,kWh
08/01/2024 12:00,152,kWh
08/01/2024 12:30,156.8,kWh
08/01/2024 13:00,159.2,kWh
08/01/2024 13:30,153.6,kWh
08/01/2024 14:00,148.198,kWh
08/01/2024 14:30,151.4,kWh
08/01/2024 15:00,154.4,kWh
08/01/2024 15:30,154.8,kWh
08/01/2024 16:00,150,kWh
08/01/2024 16:30,133.6,kWh
08/01/2024 17:00,129,kWh
08/01/2024 17:30,115.6,kWh
08/01/2024 18:00,100.8,kWh
08/01/2024 18:30,99.4,kWh
08/01/2024 19:00,93,kWh
08/01/2024 19:30,91.2,kWh
08/01/2024 20:00,73,kWh
08/01/2024 20:30,67.6,kWh
08/01/2024 21:00,69,kWh
08/01/2024 21:30,68.8,kWh
08/01/2024 22:00,67.6,kWh
08/01/2024 22:30,67,kWh
08/01/2024 23:00,67.4,kWh
08/01/2024 23:30,67.2,kWh
09/01/2024 00:00,69.6,kWh
09/01/2024 00:30,112.6,kWh
09/01/2024 01:00,106,kWh
09/01/2024 01:30,105.2,kWh
09/01/2024 02:00,104,kWh
09/01/2024 02:30,103.2,kWh
09/01/2024 03:00,100.4,kWh
09/01/2024 03:30,103,kWh
09/01/2024 04:00,113.2,kWh
09/01/2024 04:30,127,kWh
09/01/2024 05:00,123.4,kWh
09/01/2024 05:30,119.8,kWh
09/01/2024 06:00,120.4,kWh
09/01/2024 06:30,137.4,kWh
09/01/2024 07:00,141.2,kWh
09/01/2024 07:30,151.4,kWh
09/01/2024 08:00,155.2,kWh
09/01/2024 08:30,156.6,kWh
09/01/2024 09:00,171.2,kWh
09/01/2024 09:30,168.4,kWh
09/01/2024 10:00,170.6,kWh
09/01/2024 10:30,162.4,kWh
09/01/2024 11:00,153.2,kWh
09/01/2024 11:30,153.8,kWh
09/01/2024 12:00,152.8,kWh
09/01/2024 12:30,150.4,kWh
09/01/2024 13:00,155.8,kWh
09/01/2024 13:30,151.2,kWh
09/01/2024 14:00,147,kWh
09/01/2024 14:30,150,kWh
09/01/2024 15:00,147.2,kWh
09/01/2024 15:30,149.4,kWh
09/01/2024 16:00,146.6,kWh
09/01/2024 16:30,131.8,kWh
09/01/2024 17:00,128.6,kWh
09/01/2024 17:30,111.8,kWh
09/01/2024 18:00,113,kWh
09/01/2024 18:30,110.6,kWh
09/01/2024 19:00,93.6,kWh
09/01/2024 19:30,81,kWh
09/01/2024 20:00,70,kWh
09/01/2024 20:30,68.4,kWh
09/01/2024 21:00,72.4,kWh
09/01/2024 21:30,67.4,kWh
09/01/2024 22:00,69.2,kWh
09/01/2024 22:30,67.4,kWh
09/01/2024 23:00,67.4,kWh
09/01/2024 23:30,67,kWh
10/01/2024 00:00,72,kWh
10/01/2024 00:30,114,kWh
10/01/2024 01:00,105,kWh
10/01/2024 01:30,103.8,kWh
10/01/2024 02:00,103,kWh
10/01/2024 02:30,103.8,kWh
10/01/2024 03:00,102,kWh
10/01/2024 03:30,105.8,kWh
10/01/2024 04:00,114.8,kWh
10/01/2024 04:30,129.4,kWh
10/01/2024 05:00,120.2,kWh
10/01/2024 05:30,122,kWh
10/01/2024 06:00,123.4,kWh
10/01/2024 06:30,143.4,kWh
10/01/2024 07:00,139.8,kWh
10/01/2024 07:30,143,kWh
10/01/2024 08:00,153.2,kWh
10/01/2024 08:30,157.2,kWh
10/01/2024 09:00,159,kWh
10/01/2024 09:30,174.4,kWh
10/01/2024 10:00,167.8,kWh
10/01/2024 10:30,165,kWh
10/01/2024 11:00,165.4,kWh
10/01/2024 11:30,169.2,kWh
10/01/2024 12:00,167.8,kWh
10/01/2024 12:30,159.6,kWh
10/01/2024 13:00,166.4,kWh
10/01/2024 13:30,163.6,kWh
10/01/2024 14:00,163.2,kWh
10/01/2024 14:30,155,kWh
10/01/2024 15:00,161.8,kWh
10/01/2024 15:30,158,kWh
10/01/2024 16:00,154.4,kWh
10/01/2024 16:30,147.4,kWh
10/01/2024 17:00,151,kWh
10/01/2024 17:30,137.2,kWh
10/01/2024 18:00,125,kWh
10/01/2024 18:30,120.8,kWh
10/01/2024 19:00,110.8,kWh
10/01/2024 19:30,83,kWh
10/01/2024 20:00,72.8,kWh
10/01/2024 20:30,74,kWh
10/01/2024 21:00,70,kWh
10/01/2024 21:30,70.4,kWh
10/01/2024 22:00,70.2,kWh
10/01/2024 22:30,69.8,kWh
10/01/2024 23:00,69.4,kWh
10/01/2024 23:30,70.8,kWh
11/01/2024 00:00,73,kWh
11/01/2024 00:30,108.4,kWh
11/01/2024 01:00,101,kWh
11/01/2024 01:30,99.2,kWh
11/01/2024 02:00,100.4,kWh
11/01/2024 02:30,98.8,kWh
11/01/2024 03:00,98.6,kWh
11/01/2024 03:30,102.6,kWh
11/01/2024 04:00,103.8,kWh
11/01/2024 04:30,119.8,kWh
11/01/2024 05:00,116.4,kWh
11/01/2024 05:30,113,kWh
11/01/2024 06:00,110,kWh
11/01/2024 06:30,138,kWh
11/01/2024 07:00,132,kWh
11/01/2024 07:30,134.2,kWh
11/01/2024 08:00,143.8,kWh
11/01/2024 08:30,150.8,kWh
11/01/2024 09:00,153,kWh
11/01/2024 09:30,163.2,kWh
11/01/2024 10:00,165.6,kWh
11/01/2024 10:30,160.4,kWh
11/01/2024 11:00,162.8,kWh
11/01/2024 11:30,155.6,kWh
11/01/2024 12:00,151,kWh
11/01/2024 12:30,143,kWh
11/01/2024 13:00,152.4,kWh
11/01/2024 13:30,153.2,kWh
11/01/2024 14:00,162.4,kWh
11/01/2024 14:30,160.6,kWh
11/01/2024 15:00,155.2,kWh
11/01/2024 15:30,155.4,kWh
11/01/2024 16:00,149.8,kWh
11/01/2024 16:30,134.6,kWh
11/01/2024 17:00,126.4,kWh
11/01/2024 17:30,111.6,kWh
11/01/2024 18:00,110,kWh
11/01/2024 18:30,97.4,kWh
11/01/2024 19:00,90.4,kWh
11/01/2024 19:30,77.4,kWh
11/01/2024 20:00,75.4,kWh
11/01/2024 20:30,74,kWh
11/01/2024 21:00,73.8,kWh
11/01/2024 21:30,72.6,kWh
11/01/2024 22:00,70.8,kWh
11/01/2024 22:30,71.4,kWh
11/01/2024 23:00,70.8,kWh
11/01/2024 23:30,71.4,kWh
12/01/2024 00:00,73,kWh
12/01/2024 00:30,95.8,kWh
12/01/2024 01:00,92.6,kWh
12/01/2024 01:30,90.6,kWh
12/01/2024 02:00,90.2,kWh
12/01/2024 02:30,89.6,kWh
12/01/2024 03:00,88.2,kWh
12/01/2024 03:30,94.4,kWh
12/01/2024 04:00,100,kWh
12/01/2024 04:30,109.4,kWh
12/01/2024 05:00,108.8,kWh
12/01/2024 05:30,104.6,kWh
12/01/2024 06:00,103.4,kWh
12/01/2024 06:30,132.4,kWh
12/01/2024 07:00,122.6,kWh
12/01/2024 07:30,128.8,kWh
12/01/2024 08:00,141.6,kWh
12/01/2024 08:30,139.8,kWh
12/01/2024 09:00,149.6,kWh
12/01/2024 09:30,150,kWh
12/01/2024 10:00,141.8,kWh
12/01/2024 10:30,127.6,kWh
12/01/2024 11:00,129.2,kWh
12/01/2024 11:30,126.4,kWh
12/01/2024 12:00,126.8,kWh
12/01/2024 12:30,134.8,kWh
12/01/2024 13:00,147.8,kWh
12/01/2024 13:30,144,kWh
12/01/2024 14:00,137.6,kWh
12/01/2024 14:30,144.2,kWh
12/01/2024 15:00,140.8,kWh
12/01/2024 15:30,140.6,kWh
12/01/2024 16:00,133,kWh
12/01/2024 16:30,100.8,kWh
12/01/2024 17:00,100.4,kWh
12/01/2024 17:30,94.8,kWh
12/01/2024 18:00,82.2,kWh
12/01/2024 18:30,77.6,kWh
12/01/2024 19:00,76.4,kWh
12/01/2024 19:30,75,kWh
12/01/2024 20:00,70,kWh
12/01/2024 20:30,72.8,kWh
12/01/2024 21:00,69.8,kWh
12/01/2024 21:30,68.2,kWh
12/01/2024 22:00,68,kWh
12/01/2024 22:30,68,kWh
12/01/2024 23:00,68.4,kWh
12/01/2024 23:30,66.8,kWh
13/01/2024 00:00,70.4,kWh
13/01/2024 00:30,100.4,kWh
13/01/2024 01:00,96.4,kWh
13/01/2024 01:30,96.8,kWh
13/01/2024 02:00,96.6,kWh
13/01/2024 02:30,97.4,kWh
13/01/2024 03:00,96.8,kWh
13/01/2024 03:30,98.4,kWh
13/01/2024 04:00,96,kWh
13/01/2024 04:30,95,kWh
13/01/2024 05:00,94.8,kWh
13/01/2024 05:30,97.6,kWh
13/01/2024 06:00,90.4,kWh
13/01/2024 06:30,71.8,kWh
13/01/2024 07:00,72.8,kWh
13/01/2024 07:30,72,kWh
13/01/2024 08:00,71.8,kWh
13/01/2024 08:30,72,kWh
13/01/2024 09:00,72,kWh
13/01/2024 09:30,71.6,kWh
13/01/2024 10:00,71.4,kWh
13/01/2024 10:30,70.6,kWh
13/01/2024 11:00,71.4,kWh
13/01/2024 11:30,71.8,kWh
13/01/2024 12:00,71.6,kWh
13/01/2024 12:30,71.4,kWh
13/01/2024 13:00,71,kWh
13/01/2024 13:30,69.4,kWh
13/01/2024 14:00,70.6,kWh
13/01/2024 14:30,70,kWh
13/01/2024 15:00,70.6,kWh
13/01/2024 15:30,69.2,kWh
13/01/2024 16:00,69.8,kWh
13/01/2024 16:30,71.8,kWh
13/01/2024 17:00,70.2,kWh
13/01/2024 17:30,71.4,kWh
13/01/2024 18:00,72,kWh
13/01/2024 18:30,72,kWh
13/01/2024 19:00,71,kWh
13/01/2024 19:30,71.6,kWh
13/01/2024 20:00,69,kWh
13/01/2024 20:30,70.8,kWh
13/01/2024 21:00,71.8,kWh
13/01/2024 21:30,70.8,kWh
13/01/2024 22:00,69.4,kWh
13/01/2024 22:30,70,kWh
13/01/2024 23:00,70.6,kWh
13/01/2024 23:30,70.4,kWh
14/01/2024 00:00,74,kWh
14/01/2024 00:30,107.2,kWh
14/01/2024 01:00,99,kWh
14/01/2024 01:30,99.4,kWh
14/01/2024 02:00,98.2,kWh
14/01/2024 02:30,96.2,kWh
14/01/2024 03:00,97,kWh
14/01/2024 03:30,95.2,kWh
14/01/2024 04:00,97,kWh
14/01/2024 04:30,95.8,kWh
14/01/2024 05:00,95,kWh
14/01/2024 05:30,96,kWh
14/01/2024 06:00,89.6,kWh
14/01/2024 06:30,71.6,kWh
14/01/2024 07:00,73.4,kWh
14/01/2024 07:30,71.6,kWh
14/01/2024 08:00,72.4,kWh
14/01/2024 08:30,71.6,kWh
14/01/2024 09:00,72.2,kWh
14/01/2024 09:30,71.6,kWh
14/01/2024 10:00,70.6,kWh
14/01/2024 10:30,70.8,kWh
14/01/2024 11:00,71.6,kWh
14/01/2024 11:30,71.6,kWh
14/01/2024 12:00,71.4,kWh
14/01/2024 12:30,70.4,kWh
14/01/2024 13:00,70.2,kWh
14/01/2024 13:30,70.2,kWh
14/01/2024 14:00,70.4,kWh
14/01/2024 14:30,69.6,kWh
14/01/2024 15:00,70.4,kWh
14/01/2024 15:30,71.2,kWh
14/01/2024 16:00,69.8,kWh
14/01/2024 16:30,71.2,kWh
14/01/2024 17:00,71.4,kWh
14/01/2024 17:30,73.4,kWh
14/01/2024 18:00,73.8,kWh
14/01/2024 18:30,72.8,kWh
14/01/2024 19:00,71.8,kWh
14/01/2024 19:30,70.8,kWh
14/01/2024 20:00,70.8,kWh
14/01/2024 20:30,71.8,kWh
14/01/2024 21:00,69.8,kWh
14/01/2024 21:30,71,kWh
14/01/2024 22:00,70,kWh
14/01/2024 22:30,71.4,kWh
14/01/2024 23:00,70.2,kWh
14/01/2024 23:30,71,kWh
15/01/2024 00:00,74,kWh
15/01/2024 00:30,116.6,kWh
15/01/2024 01:00,110.6,kWh
15/01/2024 01:30,108.8,kWh
15/01/2024 02:00,108.4,kWh
15/01/2024 02:30,105,kWh
15/01/2024 03:00,104.4,kWh
15/01/2024 03:30,103.2,kWh
15/01/2024 04:00,107.6,kWh
15/01/2024 04:30,129.2,kWh
15/01/2024 05:00,128,kWh
15/01/2024 05:30,121.4,kWh
15/01/2024 06:00,127.2,kWh
15/01/2024 06:30,149.8,kWh
15/01/2024 07:00,150.4,kWh
15/01/2024 07:30,157,kWh
15/01/2024 08:00,160.2,kWh
15/01/2024 08:30,161.6,kWh
15/01/2024 09:00,168.2,kWh
15/01/2024 09:30,173.4,kWh
15/01/2024 10:00,169,kWh
15/01/2024 10:30,160.4,kWh
15/01/2024 11:00,156.2,kWh
15/01/2024 11:30,154.4,kWh
15/01/2024 12:00,147,kWh
15/01/2024 12:30,153.2,kWh
15/01/2024 13:00,151,kWh
15/01/2024 13:30,149.4,kWh
15/01/2024 14:00,152.4,kWh
15/01/2024 14:30,150.4,kWh
15/01/2024 15:00,149.4,kWh
15/01/2024 15:30,149,kWh
15/01/2024 16:00,148.198,kWh
15/01/2024 16:30,131.4,kWh
15/01/2024 17:00,130.4,kWh
15/01/2024 17:30,114.4,kWh
15/01/2024 18:00,103.8,kWh
15/01/2024 18:30,89.6,kWh
15/01/2024 19:00,83.4,kWh
15/01/2024 19:30,77.8,kWh
15/01/2024 20:00,70,kWh
15/01/2024 20:30,72.6,kWh
15/01/2024 21:00,70.2,kWh
15/01/2024 21:30,68.8,kWh
15/01/2024 22:00,68,kWh
15/01/2024 22:30,67.2,kWh
15/01/2024 23:00,68.2,kWh
15/01/2024 23:30,69.2,kWh
16/01/2024 00:00,71,kWh
16/01/2024 00:30,117.2,kWh
16/01/2024 01:00,111,kWh
16/01/2024 01:30,110,kWh
16/01/2024 02:00,109.8,kWh
16/01/2024 02:30,107.4,kWh
16/01/2024 03:00,111,kWh
16/01/2024 03:30,112.2,kWh
16/01/2024 04:00,115.8,kWh
16/01/2024 04:30,131.4,kWh
16/01/2024 05:00,127.8,kWh
16/01/2024 05:30,123,kWh
16/01/2024 06:00,127.8,kWh
16/01/2024 06:30,142,kWh
16/01/2024 07:00,141.2,kWh
16/01/2024 07:30,144,kWh
16/01/2024 08:00,153.2,kWh
16/01/2024 08:30,152.2,kWh
16/01/2024 09:00,152.6,kWh
16/01/2024 09:30,167.6,kWh
16/01/2024 10:00,167.4,kWh
16/01/2024 10:30,157.6,kWh
16/01/2024 11:00,146.8,kWh
16/01/2024 11:30,155.2,kWh
16/01/2024 12:00,158.2,kWh
16/01/2024 12:30,157.4,kWh
16/01/2024 13:00,151.8,kWh
16/01/2024 13:30,148,kWh
16/01/2024 14:00,149.6,kWh
